School Name,City,ZIP Code,Student Population,AP Participation,AP Math Participation,Teacher Qualification,Student-Teacher Ratio,Whites,Blacks,Two or More Races,Native Americans,Asians,Native Hawaiians or Pacific Islanders,Hispanics,Female,Male,Students from Low-Income Families,Arizona School Score,Dropout Rate,Four-year Graduation Rate,Funding per Student,ELA Score,Math Score
Aspc-Phoenix/Globe,Phoenix,85003,"1,000",10%,8%,80%,20:01,60,20,5,3,5,2,30,48,52,40%,5,0.03%,92%,"$8,000",82.3,78.9
Jail-Maricopa County Sheriffs Office,Phoenix,85003,100,2%,1%,80%,10:01,50,40,5,3,2,0,35,45,55,25%,6,0.08%,65%,"$5,200",64.5,60.2
Asu Preparatory Academy- Phoenix Elementary,Phoenix,85004,600,5%,4%,85%,18:01,70,10,5,2,8,2,20,55,45,28%,4,0.01%,93%,"$8,500",82.4,78.1
Asu Preparatory Academy- Phoenix High School,Phoenix,85004,800,7%,6%,88%,21:01,65,12,4,3,8,2,22,54,46,35%,6,0.02%,91%,"$8,200",81.7,77.3
Ombudsman - Charter Metro,Phoenix,85004,400,5%,4%,80%,17:01,50,30,10,5,8,2,40,47,53,35%,6,0.05%,73%,"$5,700",70.2,66.8
Rcb Medical Arts Academy,Phoenix,85006,150,2%,1%,90%,14:01,55,10,5,2,25,1,30,58,42,12%,5,0.01%,94%,"$8,400",82.3,79
Kaizen Education Foundation DBA Maya High School,Phoenix,85007,600,12%,10%,75%,19:01,40,30,20,5,3,2,45,42,58,45%,6,0.06%,72%,"$5,500",70,65.9
Metropolitan Arts Institute,Phoenix,85007,400,8%,6%,75%,18:01,50,30,10,5,5,2,45,42,58,30%,5,0.05%,71%,"$5,700",70.2,66.8
Phoenix Union Bioscience High School,Phoenix,85007,500,12%,10%,80%,20:01,40,25,5,3,20,2,30,50,50,25%,9,0.01%,91%,"$8,000",81.6,78.3
Tumbleweed Transitional Learning Center,Phoenix,85007,100,2%,1%,95%,12:01,70,5,3,2,20,0,25,58,42,8%,7,0.00%,96%,"$8,100",83.2,79.9
Arizona Agribusiness & Equine Center - Estrella,Avondale,85007,480,1%,1%,100%,10:01,50,7,1,1,4,0,36,58,42,40%,3,0.00%,100.00%,N/A,0.7,0.6
Cyber High School,Phoenix,85008,300,3%,2%,70%,25:01:00,30,45,10,5,5,2,45,40,60,55%,8,0.06%,71%,"$5,600",69.8,65.7
Hope High School,Phoenix,85008,400,5%,4%,90%,15:01,70,5,10,5,5,2,15,58,42,5%,3,0.02%,89%,"$7,200",80.5,76.9
Ombudsman - Charter Southeast,Phoenix,85008,500,8%,6%,80%,18:01,50,30,10,5,5,2,40,47,53,30%,5,0.04%,76%,"$5,800",72.1,68.3
Phoenix College Preparatory Academy,Phoenix,85008,600,10%,8%,75%,22:01,55,12,6,3,20,1,30,53,47,28%,7,0.02%,89%,"$7,700",80.5,77.1
Vista Peak,Phoenix,85008,300,5%,4%,90%,18:01,60,10,5,2,25,1,30,57,43,22%,7,0.01%,94%,"$8,300",83.6,80.3
Children First Academy - Phoenix,Phoenix,85009,500,5%,4%,80%,18:01,30,45,10,5,5,2,50,40,60,65%,4,0.08%,72%,"$5,800",71.3,67.8
Desert Valleys Region,Phoenix,85009,400,4%,3%,85%,20:01,60,15,8,5,8,2,20,49,51,18%,6,0.02%,89%,"$7,800",82.6,78.7
Kaizen Education Foundation DBA Quest High School,Phoenix,85009,500,8%,6%,85%,18:01,55,20,10,5,7,3,35,46,54,35%,6,0.03%,84%,"$6,400",75.6,71.3
New World Educational Center,Phoenix,85009,"1,000",15%,12%,75%,20:01,45,30,12,5,8,2,40,46,54,35%,6,0.04%,81%,"$6,300",74.3,70.1
Pan-american Charter School,Phoenix,85009,500,5%,4%,75%,18:01,40,20,5,2,25,1,30,55,45,25%,7,0.02%,88%,"$6,900",77.8,74.5
Prospect School,Phoenix,85009,250,3%,2%,85%,16:01,50,20,5,3,20,1,30,53,47,20%,9,0.01%,92%,"$8,200",81.7,78.4
Southwest Key Transitional Learning Center,Phoenix,85009,300,5%,4%,80%,19:01,50,20,6,4,15,2,35,52,48,30%,9,0.03%,88%,"$7,600",79.5,76.1
System Phoenix,Phoenix,85009,200,3%,2%,80%,15:01,55,15,5,3,20,1,35,47,53,18%,8,0.02%,90%,"$8,000",80.7,77.4
Basis Phoenix Central Primary,Phoenix,85012,300,30%,25%,94%,14:01,78,5,3,1,6,2,14,62,38,5%,5,0.00%,98%,"$10,000",91,87.3
Brophy College Preparatory,Phoenix,85012,900,18%,15%,85%,19:01,75,10,6,3,5,1,20,52,48,20%,6,0.02%,92%,"$8,500",81.9,77.6
Central High School,Phoenix,85012,"1,800",10%,8%,75%,21:01,55,20,10,5,7,3,35,46,54,40%,3,0.04%,84%,"$6,200",74.5,70.1
E-Institute at Metro,Phoenix,85012,800,10%,8%,75%,25:01:00,35,30,15,5,10,2,25,42,58,25%,6,0.05%,72%,"$5,700",71.9,68.4
Eschool,Phoenix,85012,400,5%,4%,75%,20:01,60,15,10,5,7,2,25,58,42,20%,7,0.04%,82%,"$6,100",74.7,70.2
North High School,Phoenix,85012,"2,500",25%,22%,90%,22:01,80,5,5,2,8,1,25,55,45,20%,6,0.02%,91%,"$7,600",79.5,75.1
Xavier College Preparatory,Phoenix,85012,"1,200",18%,15%,70%,20:01,45,20,8,5,15,2,30,51,49,38%,7,0.03%,87%,"$7,800",78.4,75
Edkey Inc. - Sequoia Choice Precision School,Phoenix,85013,700,8%,7%,85%,19:01,55,20,10,5,7,3,30,49,51,30%,7,0.03%,83%,"$6,300",75.8,71.4
Learning Institute The,Phoenix,85013,400,8%,6%,70%,20:01,45,30,12,5,7,2,40,45,55,25%,10,0.06%,70%,"$5,900",68.9,64.7
Rsd High School,Phoenix,85013,500,8%,6%,75%,20:01,45,20,7,4,15,2,30,52,48,30%,7,0.02%,90%,"$7,900",80.4,77.1
Girls Leadership Academy of Arizona,Phoenix,85014,300,5%,4%,80%,20:01,35,45,10,5,3,2,50,40,60,55%,5,0.06%,71%,"$5,900",69.3,65.2
Intelli-School - Paradise Valley,Phoenix,85014,300,3%,2%,75%,18:01,60,15,10,5,5,2,45,40,60,30%,6,0.04%,74%,"$5,800",71,67.8
Midtown High School,Phoenix,85015,800,10%,8%,80%,19:01,55,20,10,5,5,2,35,46,54,25%,5,0.04%,78%,"$6,000",72.4,68.3
South Ridge High School,Phoenix,85015,"1,800",20%,18%,70%,25:01:00,40,25,8,5,15,2,35,49,51,42%,5,0.03%,87%,"$7,800",80.1,76.7
West-mec - Cortez High School,Phoenix,85015,"1,700",22%,20%,70%,24:01:00,45,25,8,5,15,2,30,50,50,45%,6,0.04%,87%,"$7,500",78.5,75.1
Basis Phoenix,Phoenix,85016,700,25%,22%,92%,16:01,75,6,4,2,8,2,18,58,42,15%,7,0.00%,96%,"$9,500",89.5,85.6
Bostrom Alternative Center,Phoenix,85016,200,3%,2%,80%,20:01,40,40,10,5,3,2,35,45,55,50%,5,0.04%,85%,"$6,500",76.8,72.5
Camelback High School,Phoenix,85016,"1,800",20%,18%,80%,23:01,55,20,5,2,10,2,27,46,54,35%,6,0.02%,89%,"$7,200",79.5,75.9
Glenview College Preparatory High School,Phoenix,85016,400,8%,6%,85%,17:01,50,30,12,5,3,2,40,45,55,25%,5,0.03%,83%,"$6,300",75.4,71.1
Bourgade Catholic High School,Phoenix,85017,"1,200",10%,8%,70%,22:01,65,15,7,2,8,3,25,50,50,30%,5,0.03%,88%,"$7,000",78.2,74.6
Carl Hayden High School,Phoenix,85017,"1,600",15%,12%,70%,20:01,40,35,15,5,3,2,45,44,56,60%,7,0.06%,75%,"$6,000",72.4,68.9
Gompers Private School,Phoenix,85017,500,12%,10%,70%,22:01,70,5,10,5,5,2,10,59,41,8%,7,0.06%,72%,"$5,600",70.2,66.3
Kaizen Education Foundation DBA Summit High School,Phoenix,85017,400,5%,4%,90%,15:01,65,12,8,3,5,2,15,58,42,5%,7,0.02%,89%,"$7,200",79.7,75.8
Phoenix Christian Preparatory School,Phoenix,85017,400,5%,3%,90%,20:01,70,5,3,2,18,1,25,56,44,18%,6,0.01%,94%,"$8,500",83.1,79.8
Precision Academy,Phoenix,85017,150,2%,1%,95%,14:01,70,5,3,2,20,0,25,58,42,10%,8,0.01%,97%,"$9,000",85.4,82.1
Sweetwater Community School,Phoenix,85017,150,2%,2%,95%,14:01,70,5,3,2,20,0,25,60,40,10%,7,0.00%,97%,"$8,900",86.5,83.2
EVIT - Arcadia High School,Phoenix,85018,"1,000",15%,12%,80%,24:01:00,40,35,15,5,3,2,50,43,57,45%,5,0.04%,83%,"$6,800",76.2,71.8
High-Star Center for Children,Phoenix,85018,300,5%,4%,80%,17:01,35,45,10,5,5,2,50,42,58,40%,5,0.07%,72%,"$5,600",69.9,65.8
Genesis Academy,Phoenix,85019,700,10%,8%,90%,18:01,65,12,8,3,5,2,15,58,42,12%,5,0.02%,88%,"$7,500",79.9,75.5
Westland School,Phoenix,85019,150,2%,2%,95%,12:01,70,5,3,2,20,0,25,60,40,10%,5,0.00%,97%,"$8,900",86.5,83.2
Sunnyslope High School,Phoenix,85020,"1,800",15%,12%,75%,24:01:00,45,20,7,4,15,2,30,51,49,42%,5,0.03%,88%,"$7,700",79.1,75.7
West-mec - Sunnyslope High School,Phoenix,85020,"1,800",15%,12%,75%,24:01:00,45,20,7,4,15,2,30,51,49,42%,9,0.03%,88%,"$7,700",79.1,75.7
Cornerstone Charter School,Phoenix,85021,300,3%,2%,85%,17:01,60,15,10,5,7,3,25,48,52,20%,5,0.03%,87%,"$7,000",79.2,75.7
Keystone Montessori Charter School,Phoenix,85021,300,5%,4%,85%,16:01,55,25,10,5,3,2,40,46,54,30%,8,0.03%,82%,"$6,300",74.8,70.6
Palo Verde Middle School,Phoenix,85021,800,10%,8%,80%,20:01,50,15,5,3,20,2,35,52,48,30%,6,0.02%,90%,"$7,600",79.5,76.2
Polaris High School,Phoenix,85021,300,4%,3%,85%,18:01,45,20,5,2,25,1,30,54,46,22%,7,0.01%,93%,"$8,100",82.1,78.8
Desert Marigold School,Phoenix,85022,300,5%,4%,90%,16:01,80,5,3,1,7,2,10,59,41,5%,3,0.01%,96%,"$9,500",89.6,86.1
Great Hearts Academies - Archway Veritas,Phoenix,85022,700,20%,18%,80%,24:01:00,65,12,8,3,5,2,15,58,42,18%,7,0.02%,87%,"$7,200",79.6,75.3
Pvonline,Phoenix,85022,300,6%,5%,70%,18:01,40,25,8,3,20,1,30,55,45,25%,9,0.02%,88%,"$7,700",79.8,76.4
Sonoran Science Academy - Phoenix,Phoenix,85022,600,15%,12%,80%,22:01,35,30,10,5,15,2,38,46,54,45%,5,0.03%,86%,"$7,200",76.8,73.4
Career Success Jr/Sr High School - North Phoenix,Phoenix,85023,400,5%,4%,72%,15:01,50,25,10,8,5,2,35,45,55,55%,4,0.05%,78%,"$6,200",73.8,69.5
Greenway High School,Phoenix,85023,"1,800",12%,10%,75%,19:01,45,30,12,5,8,2,40,46,54,40%,8,0.03%,80%,"$6,300",73.8,69.5
West-mec - Greenway High School,Phoenix,85023,"2,000",25%,22%,75%,26:01:00,40,30,8,5,15,2,35,48,52,48%,3,0.04%,88%,"$7,600",79.2,75.8
Deer Valley Middle School,Phoenix,85024,700,10%,8%,80%,18:01,65,12,8,3,5,2,25,55,45,20%,8,0.02%,88%,"$7,200",79.5,75.8
Horizon Community Learning Center,Phoenix,85024,500,8%,6%,80%,18:01,45,30,10,5,5,2,40,47,53,35%,3,0.04%,78%,"$6,000",72.3,68.9
Barry Goldwater High School,Phoenix,85027,"1,500",15%,12%,75%,24:01:00,55,18,6,4,10,2,28,47,53,25%,7,0.02%,90%,"$7,700",80.5,76.2
Pillar Academy Online,Phoenix,85027,100,2%,2%,90%,15:01,60,5,3,2,25,1,30,57,43,15%,9,0.01%,95%,"$8,300",83.8,80.5
West-mec - Barry Goldwater High School,Phoenix,85027,"1,500",20%,18%,75%,22:01,50,20,8,5,15,2,30,53,47,42%,6,0.03%,89%,"$7,800",80.3,76.9
West-mec - North Canyon High School,Phoenix,85027,"1,800",15%,12%,75%,24:01:00,45,20,7,4,15,2,30,50,50,38%,6,0.03%,88%,"$7,700",79.1,75.7
Shea Middle School,Phoenix,85028,700,10%,8%,75%,20:01,55,15,7,4,15,2,30,50,50,30%,7,0.02%,89%,"$7,900",80.1,76.7
Career Success High School - Main Campus,Phoenix,85029,700,8%,7%,78%,18:01,35,35,10,5,10,3,32,40,60,48%,6,0.04%,80%,"$6,500",75.5,70.9
Crestview College Preparatory,Phoenix,85029,400,8%,6%,78%,19:01,45,30,12,6,5,2,40,47,53,30%,7,0.03%,83%,"$6,000",73.7,69.9
Desert Garden Montessori,Phoenix,85029,200,2%,1%,80%,22:01,75,5,5,3,10,2,10,60,40,8%,6,0.01%,94%,"$9,200",88.3,84.7
Desert Voices Oral Learning Center,Phoenix,85029,100,2%,1%,70%,15:01,65,12,8,5,5,2,15,52,48,10%,6,0.03%,81%,"$6,300",75.7,71.5
Explorer Middle School,Phoenix,85029,800,10%,8%,75%,20:01,50,25,10,8,5,2,30,44,56,30%,10,0.05%,74%,"$5,800",70.9,67.3
Moon Valley High School,Phoenix,85029,"2,200",20%,18%,85%,23:01,40,35,15,5,8,2,45,43,57,45%,6,0.05%,76%,"$5,900",72.6,68.2
Thunderbird High School,Phoenix,85029,"2,200",18%,15%,70%,25:01:00,40,25,8,5,15,2,30,50,50,35%,6,0.03%,87%,"$7,800",78.6,75.3
West-mec - Moon Valley High School,Phoenix,85029,"2,200",20%,18%,70%,25:01:00,40,25,8,5,15,2,30,49,51,40%,4,0.03%,87%,"$7,800",78.3,74.9
West-mec - Thunderbird High School,Phoenix,85029,"2,200",18%,15%,70%,25:01:00,40,25,8,5,15,2,30,50,50,35%,5,0.03%,87%,"$7,800",78.6,75.3
Western School Of Science And Technology,Phoenix,85029,800,10%,8%,75%,20:01,55,15,7,4,15,2,30,50,50,30%,7,0.02%,89%,"$7,900",80.1,76.7
Metro Tech High School,Phoenix,85031,"1,500",18%,15%,80%,24:01:00,60,20,10,5,3,2,40,46,54,40%,5,0.04%,79%,"$6,500",74.9,70.7
St Marys High School,Phoenix,85031,"2,000",20%,18%,70%,26:01:00,40,20,8,5,15,2,35,50,50,38%,3,0.03%,87%,"$7,800",78.4,75
Trevor Browne High School,Phoenix,85031,"1,800",15%,12%,75%,24:01:00,45,20,7,4,15,2,30,52,48,40%,7,0.03%,89%,"$7,900",79.3,75.9
Victory High School - Campus,Phoenix,85031,200,3%,2%,85%,16:01,50,20,5,3,20,1,30,52,48,18%,7,0.01%,92%,"$8,000",81.1,77.8
Crown Point High School,Phoenix,85032,900,20%,18%,85%,20:01,70,10,5,2,8,2,15,52,48,12%,8,0.02%,91%,"$8,100",82.1,78.3
E-Institute at Union Hills,Phoenix,85032,"1,000",12%,10%,80%,21:01,40,35,10,5,8,2,40,46,54,35%,6,0.04%,76%,"$6,000",74.2,69.9
Humanities and Sciences High School - Phoenix,Phoenix,85032,700,10%,8%,85%,21:01,60,20,10,5,3,2,30,45,55,25%,5,0.04%,81%,"$6,200",74.5,70.2
Madison Highland Prep,Phoenix,85032,600,10%,8%,85%,21:01,55,20,10,5,5,2,30,47,53,20%,5,0.03%,81%,"$6,400",74.3,70.2
Ombudsman - Metro Center,Phoenix,85032,400,5%,4%,80%,17:01,50,30,10,5,8,2,40,47,53,35%,4,0.05%,73%,"$5,700",70.2,66.8
Paradise Valley Christian Preparatory,Phoenix,85032,300,3%,2%,85%,15:01,60,10,5,2,20,1,30,60,40,20%,5,0.01%,92%,"$8,200",81.4,78.1
Paradise Valley High School,Phoenix,85032,"2,000",20%,15%,70%,25:01:00,40,20,8,5,15,2,35,48,52,35%,4,0.03%,87%,"$7,800",78.2,74.8
Scottsdale Christian Academy,Phoenix,85032,300,4%,3%,85%,17:01,60,15,5,2,15,1,35,56,44,18%,7,0.01%,93%,"$8,300",82.7,79.4
Shadow Mountain High School,Phoenix,85032,"2,000",18%,15%,70%,25:01:00,40,25,8,5,15,2,30,49,51,35%,4,0.03%,87%,"$7,800",78.2,74.9
Shearim Torah High School For Girls,Phoenix,85032,150,2%,2%,90%,15:01,60,10,5,2,20,1,30,58,42,20%,4,0.01%,92%,"$8,100",82,78.6
Starshine Academy,Phoenix,85032,300,3%,2%,85%,16:01,50,20,5,3,20,1,30,53,47,20%,4,0.02%,91%,"$8,100",82.6,79.3
Vista Verde Middle School,Phoenix,85032,800,12%,10%,70%,21:01,45,20,8,5,15,2,30,53,47,35%,5,0.03%,87%,"$7,900",79,75.6
West-mec - Paradise Valley High School,Phoenix,85032,"2,000",20%,18%,70%,26:01:00,40,25,8,5,15,2,30,49,51,42%,7,0.04%,87%,"$7,800",78.2,74.8
West-mec - Shadow Mountain High School,Phoenix,85032,"2,000",18%,15%,70%,25:01:00,40,25,8,5,15,2,30,49,51,35%,8,0.03%,87%,"$7,800",78.2,74.9
Cortez High School,Phoenix,85033,"1,400",12%,10%,72%,23:01,40,40,10,5,3,2,50,42,58,50%,6,0.05%,74%,"$5,700",70.8,66.5
Holy Cross Lutheran School,Phoenix,85033,200,3%,2%,75%,20:01,60,15,10,5,8,2,25,55,45,20%,4,0.04%,79%,"$6,000",73.2,69.8
Maryvale High School,Phoenix,85033,"2,000",12%,10%,75%,25:01:00,40,35,15,5,8,2,45,44,56,60%,5,0.06%,74%,"$5,800",72.6,68.3
Southwest Leadership Academy,Phoenix,85033,400,8%,6%,75%,21:01,45,25,7,4,15,2,30,54,46,35%,7,0.03%,89%,"$7,900",80.2,76.8
West Phoenix High School,Phoenix,85033,"1,800",15%,12%,70%,24:01:00,45,20,7,4,15,2,30,52,48,38%,5,0.03%,87%,"$7,700",79.1,75.7
Franklin Police and Fire High School,Phoenix,85034,900,15%,12%,85%,23:01,45,30,10,5,7,3,35,47,53,35%,8,0.03%,81%,"$6,500",74.1,69.7
Gateway Early College High School,Phoenix,85034,"1,100",18%,15%,80%,25:01:00,35,40,15,5,3,2,35,45,55,50%,6,0.06%,73%,"$6,400",71.6,68
International Commerce High School - Phoenix,Phoenix,85034,500,5%,4%,90%,20:01,70,5,10,5,5,2,15,57,43,5%,6,0.02%,89%,"$7,000",79.4,75.9
Ombudsman Charter Metro,Phoenix,85040,400,5%,4%,70%,20:01,45,35,10,5,3,2,45,43,57,35%,7,0.05%,72%,"$5,600",70.3,66.7
